Doc_ID,CleanData,Sentiment
doc0,give sister cook clean take trash love facebook new laptop bought laptop spec laptop gobb memori enough hard drive space million pictur hope like im pretti sure love,positive
doc1,far week use love laptop spent lot time research get laptop within budget ran realli well one check box speed memori sound screen great happi choic use person busi use,positive
doc2,sure time touch screen worthi extra cost,positive
doc3,thing dont like even turn keyboard light continu press difficult see charact key,negative
doc4,order new recurv use one return,negative
doc5,overal good laptop casual use fan backlit keyboard difficult see key sometim would recommend laptop anyon look fast easi use solut shop read reasearch,positive
doc6,laptop use wife replac older dell inspiron laptop enjoy speed feel keyboard touchscreen display havent heard complaint prais,positive
doc7,review written non techi persongood memori well lit screen easi use use laptopfor email publish work well laptop isheavi might like carri laptopoften fine rare take desk athom thought price good capabilitiesit,positive
doc8,came even around pm thank usp still work scratch outsid use im greatli need good comput far work terrif fast touch screen cours doesnt realli use unless feel lazi use mous comput great plea amazon dell send brand new comput without scratch top would put star came brand new buyer bewar,positive
doc9,product arriv damag work seller refus fix replac blame damag bewar purchas brown box seller,
doc10,beauti fast,positive
doc11,satisfi purchas,positive
doc12,good laptop high perform work fast smooth,positive
doc13,happi product,positive
doc14,best laptop,positive
doc15,fast perfect comput,positive
doc16,great product,positive
doc17,great,positive
doc18,got gift best friend went load ram sata drive cannot believ fast soon hit last digit password sign boom load backlit god send o super slim lightweight laptop troubl wait cach chrome noth ever get hung never wait page load touch pad odd went reset whole thing never problem anymor went taskmanag turn thing run background set open set click privaci click background app choos app run background section turn toggl switch app want restrict made faster also use thing sometm hour day joy happi seller made build possibl,positive
doc19,bought mine costco thank super easi return fan louder airplan serious loud give headach might overlook didnt spend time comput wait someth happen soooo sloooowwww year old comput kid run program load page faster piec junk brand new pretti much give dell point,positive
